ID,City,Latitude,Longitude
633,Oakman,33.700174,-87.368574
634,Odenville,33.675611,-86.408952
635,Ohatchee,33.778779,-86.025357
636,Oneonta,33.925858,-86.474118
637,Opelika,32.627771,-85.358629
638,Opp,31.279861,-86.257105
639,Orange Beach,30.290596,-87.555888
640,Orrville,32.294859,-87.221368
641,Owens Cross Roads,34.612859,-86.466577
642,Oxford,33.596829,-85.83347
643,Ozark,31.439069,-85.643629
644,Paint Rock,34.667122,-86.332562
645,Palmerdale,33.738611,-86.646111
646,Panola,32.950556,-88.268889
647,Pansey,31.131778,-85.238549
648,Parrish,33.721307,-87.265773
649,Pelham,33.31046,-86.806176
650,Pell City,33.597889,-86.343151
651,Pennington,32.226245,-88.0931
652,Perdido,30.98058,-87.628374
653,Perdue Hill,31.513889,-87.493333
654,Perote,32.003459,-85.74773
655,Peterman,31.589953,-87.259984
656,Peterson,33.2325,-87.423611
657,Petrey,31.848611,-86.207778
658,Phenix City,32.484,-85.0911
659,Phenix City,32.407816,-85.095082
660,Phil Campbell,34.347018,-87.715431
661,Piedmont,33.838946,-85.645997
662,Pike Road,32.335705,-86.09589
663,Pinckard,31.311389,-85.553056
664,Pine Apple,31.926522,-87.004667
665,Pine Hill,31.973546,-87.577086
666,Pine Level,32.067778,-86.059722
667,Pinson,33.708131,-86.656542
668,Pisgah,34.688601,-85.803044
669,Pittsview,32.173346,-85.131248
670,Plantersville,32.617608,-86.947531
671,Pleasant Grove,33.488336,-86.976586
672,Point Clear,30.473889,-87.919167
673,Prattville,32.478695,-86.42997
674,Princeton,34.840217,-86.250068
675,Quinton,33.656065,-87.10066
676,Ragland,33.736677,-86.1619
677,Rainsville,34.498884,-85.844605
678,Ralph,33.062868,-87.744984
679,Ramer,32.067745,-86.246329
680,Ranburne,33.561627,-85.378604
681,Randolph,32.888834,-86.90701
682,Range,31.30169,-87.319739
683,Red Bay,34.451259,-88.112914
684,Red Level,31.439931,-86.61209
685,Reform,33.395945,-88.020277
686,Remlap,33.846204,-86.641662
687,Repton,31.425569,-87.172039
688,River Falls,31.352778,-86.539167
689,Riverside,33.608832,-86.198341
690,Roanoke,33.156443,-85.357854
691,Robertsdale,30.561608,-87.637268
692,Rockford,32.877957,-86.240006
693,Rogersville,34.849544,-87.323671
694,Russellville,34.506568,-87.725726
695,Rutledge,31.755867,-86.348464
696,Ryland,34.769722,-86.480833
697,Safford,32.300242,-87.369345
698,Saginaw,33.216111,-86.791944
699,Saint Elmo,30.503333,-88.254167
700,Saint Stephens,31.533028,-88.052094
701,Salem,32.621157,-85.183966
702,Samantha,33.422222,-87.605278
703,Samson,31.104918,-86.067416
704,Saraland,30.833197,-88.093387
705,Sardis,32.284358,-86.991959
706,Satsuma,30.851628,-88.053312
707,Sawyerville,32.757796,-87.740201
708,Sayre,33.712222,-86.974444
709,Scottsboro,34.67227,-86.051336
710,Seale,32.305339,-85.167733
711,Section,34.543275,-85.994002
712,Selma,32.419719,-87.024527
713,Seminole,30.504806,-87.465938
714,Semmes,30.754408,-88.266705
